"","detection_history.o12","detection_history.o13","detection_history.o14","detection_history.o15","detection_history.o16","detection_history.o17","detection_history.o18","detection_history.o19","detection_history.o20","detection_history.o21","detection_history.o22","detection_history.o23","detection_history.o24","detection_history.o25","detection_history.o26","detection_history.o27","detection_history.o28","detection_history.o29","detection_history.o30","detection_history.o31","detection_history.o32","Station"
"1",0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,1,3,1,0,0,"g-b02"
"2",0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,"g-d02"
"3",0,1,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,"g-d06"
"4",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"g-d10"
"5",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"g-e03"
"6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,"g-e07"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-e09"
"8",0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"g-e11"
"9",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"g-f02"
"10",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,"g-f04"
"11",2,0,0,0,0,1,0,1,0,1,2,0,1,1,1,0,1,1,0,0,0,"g-f06"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-f08"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-f10"
"14",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"g-g03"
"15",1,0,1,2,1,1,0,0,0,0,0,3,0,1,0,1,1,0,0,1,5,"g-g05"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-g07"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-g09"
"18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-g11"
"19",0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,"g-h04"
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-h06"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-h08"
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-i03"
"23",1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,1,0,1,0,0,"g-i05"
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-i07"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-i09"
"26",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-j04"
"27",0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,"g-j06"
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-j08"
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-k03"
"30",1,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,"g-k05"
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-k07"
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-l02"
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-l04"
"34",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,"g-l06"
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-m03"
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-m05"
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-n02"
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-n04"
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"g-o03"
