Station,lat,lon,Start,Finish,Problem1_from,Problem1_to
CW01,-31.835314,152.636638,30/11/2018,26/02/2019,na,na
CW02,-31.837391,152.646125,30/11/2018,26/02/2019,na,5/02/2019
CW03,-31.830924,152.633185,30/11/2018,26/02/2019,na,na
CW04,-31.83258,152.6396,30/11/2018,26/02/2019,na,na
CW05,-31.824881,152.643041,30/11/2018,26/02/2019,na,na
CW06,-31.825129,152.651078,30/11/2018,26/02/2019,na,na
CW07,-31.82382298,152.6728,30/11/2018,26/02/2019,na,na
CW08,-31.82276803,152.680258,30/11/2018,26/02/2019,na,na
CW09,-31.819696,152.640061,30/11/2018,26/02/2019,na,na
CW10,-31.8191,152.64689,30/11/2018,26/02/2019,na,na
CW11,-31.81077898,152.658377,30/11/2018,26/02/2019,na,na
CW12,-31.818864,152.662055,30/11/2018,26/02/2019,na,na
CW13,-31.818594,152.669513,30/11/2018,26/02/2019,na,na
CW14,-31.81090102,152.661695,30/11/2018,26/02/2019,na,na
CW15,-31.81850399,152.684597,30/11/2018,26/02/2019,17/01/2019,5/02/2019
CW16,-31.81768,152.69185,30/11/2018,26/02/2019,na,na
CW17,-31.814338,152.643193,30/11/2018,26/02/2019,5/01/2019,5/02/2019
CW18, -31.813640,152.642103,30/11/2018,26/02/2019,31/01/2019,5/02/2019
CW19,-31.81358197,152.658265,30/11/2018,26/02/2019,na,na
CW20,-31.81323,152.6654,30/11/2018,26/02/2019,22/12/2018,18/02/2019
CW21,-31.81282399,152.672428,30/11/2018,26/02/2019,na,na
CW22,-31.81261201,152.679729,30/11/2018,26/02/2019,na,na
CW23,-31.806382,152.683157,30/11/2018,26/02/2019,na,na
CW24,-31.818032,152.6381619,30/11/2018,26/02/2019,na,na
CW25,-31.83285868,152.6332285,30/11/2018,26/02/2019,na,na
CW26,-31.83997209,152.6340002,30/11/2018,26/02/2019,na,na
CW27,-31.81128197,152.640296,30/11/2018,26/02/2019,na,na
CW28,-31.796281,152.688065,30/11/2018,26/02/2019,na,na
CW29,-31.841794,152.641406,30/11/2018,26/02/2019,na,na
CW30,-31.828994,152.623595,30/11/2018,26/02/2019,na,na
CW31,-31.79591099,152.682538,30/11/2018,26/02/2019,na,na
CW32,-31.792452,152.691815,30/11/2018,26/02/2019,na,na
CW33,-31.835412,152.627537,30/11/2018,26/02/2019,5/02/2019,26/02/2019
CW34,-31.78944,152.7004,30/11/2018,26/02/2019,na,na
CW35,-31.839157,152.63354,30/11/2018,26/02/2019,5/02/2019,26/02/2019
