Station,lat,lon,Start,Finish,Problem1_from,Problem1_to,x,y
NPD00,-27.264158,152.908391,21/08/2019,15/10/2019,NA,NA,490932.3276,6984302.958
NPD01,-27.264854,152.917069,21/08/2019,15/10/2019,NA,NA,491791.3477,6984226.466
NPD02,-27.260431,152.911307,21/08/2019,15/10/2019,NA,NA,491220.6675,6984715.982
NPD03,-27.25649879,152.8936856,20/08/2019,15/10/2019,NA,NA,489476.0339,6985150.167
NPD04,-27.256324,152.909269,21/08/2019,15/10/2019,NA,NA,491018.6047,6985170.742
NPD05,-27.256392,152.913709,21/08/2019,15/10/2019,NA,NA,491458.1225,6985163.521
NPD06,-27.252663,152.891494,20/08/2019,15/10/2019,NA,NA,489258.7177,6985574.846
NPD07,-27.252894,152.90133,21/08/2019,15/10/2019,NA,NA,490232.4289,6985550.065
NPD08,-27.252351,152.906576,21/08/2019,15/10/2019,NA,NA,490751.6979,6985610.609
NPD09,-27.252563,152.910959,21/08/2019,15/10/2019,NA,NA,491185.6002,6985587.443
NPD12,-27.249024,152.884074,20/08/2019,16/10/2019,NA,NA,488523.8192,6985977.254
NPD13,-27.248799,152.888891,20/08/2019,15/10/2019,NA,NA,489000.66,6986002.609
NPD14,-27.248739,152.893844,20/08/2019,15/10/2019,NA,NA,489490.9816,6986009.68
NPD15,-27.248469,152.903747,21/08/2019,15/10/2019,NA,NA,490471.3164,6986040.379
NPD16,-27.248183,152.909075,21/08/2019,15/10/2019,NA,NA,490998.7456,6986072.452
NPD21,-27.244279,152.881149,20/08/2019,16/10/2019,NA,NA,488233.7573,6986502.554
NPD22,-27.244517,152.886225,20/08/2019,16/10/2019,NA,NA,488736.3054,6986476.66
NPD23,-27.244429,152.891036,20/08/2019,15/10/2019,NA,NA,489212.585,6986486.831
NPD25,-27.244867,152.906625,21/08/2019,15/10/2019,NA,NA,490755.93,6986439.564
NPD30,-27.240714,152.878373,21/08/2019,16/10/2019,NA,NA,487958.5495,6986897.161
NPD31,-27.240739,152.883617,21/08/2019,15/10/2019,NA,NA,488477.7248,6986894.886
NPD32,-27.241156,152.888841,20/08/2019,15/10/2019,NA,NA,488994.9583,6986849.167
NPD33,-27.241017,152.893817,20/08/2019,15/10/2019,NA,NA,489487.583,6986864.991
NPD34,-27.240692,152.898024,20/08/2019,15/10/2019,NA,NA,489904.0588,6986901.336
NPD35,-27.240767,152.903776,21/08/2019,16/10/2019,17/09/2019,16/10/2019,490473.5314,6986893.479
NPD37,-27.23685,152.870746,21/08/2019,16/10/2019,NA,NA,487203.0102,6987324.393
NPD38,-27.236753,152.876372,20/08/2019,15/10/2019,NA,NA,487760.0108,6987335.7
NPD39,-27.237332,152.881308,21/08/2019,15/10/2019,NA,NA,488248.7687,6987272.041
NPD40,-27.237038,152.885984,21/08/2019,16/10/2019,NA,NA,488711.6919,6987305.035
NPD41,-27.236722,152.901314,21/08/2019,15/10/2019,NA,NA,490229.4326,6987341.326
NPD42,-27.23302125,152.868458,21/08/2019,16/10/2019,NA,NA,486976.0325,6987748.241
NPD43,-27.23302586,152.873508,21/08/2019,15/10/2019,NA,NA,487476.0346,6987748.246
NPD44,-27.232725,152.878304,21/08/2019,15/10/2019,NA,NA,487950.8581,6987782.041
NPD45,-27.233271,152.88371,21/08/2019,15/10/2019,NA,NA,488486.1637,6987722.073
NPD46,-27.233422,152.894042,21/08/2019,15/10/2019,NA,NA,489509.1466,6987706.255
